address,emergency_end_stakes
0x3603d55b7aB2b84F80b6F282948b2702E882C6E3,1
0xaFfe05EE2A0cc2a1493AbD0AE0D76AF9B1dd5184,1
0xbFE7233cD5741D2af3f008bCBd9677D2dD3B10d6,1
0x630AA9B5e759A9EB90619E9E0788B60B10a5B0CE,1
0x4a3E7B981A444C0561282f18EDFBfc017f067D4C,1
0xa00e963eBaC6a36A97725BD97F6E6DA111931eB5,1
0x3F10AAdc2f8Bc0DA714277BF50Bb1d3Bf9B04d00,1
0x5F319F920E6743759352f0FE51D17555E7BdbD05,1
0x69b87AC521c6F72111F9dB76D61198F8012FB3B7,1
0x5B7A5426355fC04Bd3EFCe32db3A9D74A37cbEf8,1
0x10809fBdeD7fa4B825bBF5E35321B3141Ff948DE,4
0xB2E2568f6e5Ab125f5647D08b07C3D402A3D6f32,4
0xB1c9dEBc9c71CE7Ce713FDB73A8b218038dA1891,1
0x220BFb083B91448Caa247c0cb2CD0Fb4D56a762F,2
